OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE,has_public_gp_history
DIRECTV 9S,2006-043A,29494,PAY,+,US,2006-10-13,FRGUI,,1436.1,2.61,35803,35771,271.1266,,EA,ORB,True
GALAXY 17 (G-17),2007-016B,31307,PAY,+,US,2007-05-04,FRGUI,,1436.1,3.16,35799,35774,12.6832,,EA,ORB,True
WGS F1 (USA 195),2007-046A,32258,PAY,+,US,2007-10-11,AFETR,,1436.11,0.02,35791,35783,15.8866,,EA,ORB,True
AMC-14,2008-011A,32708,PAY,P,US,2008-03-14,TYMSC,,1433.63,24.1,35889,35587,13.1101,,EA,ORB,True
DIRECTV 11,2008-013A,32729,PAY,+,US,2008-03-19,SEAL,,1436.12,,35787,35787,6.3246,,EA,ORB,True
ICO G1,2008-016A,32763,PAY,+,US,2008-04-14,AFETR,,1436.08,5.54,35796,35777,14.1589,,EA,ORB,True
GALAXY 18 (G-18),2008-024A,32951,PAY,+,US,2008-05-21,SEAL,,1436.11,0.01,35799,35774,20.9813,,EA,ORB,True
ECHOSTAR 11,2008-035A,33207,PAY,+,US,2008-07-16,SEAL,,1436.11,1.2,35797,35776,32.4063,,EA,ORB,True
GALAXY 19 (G-19),2008-045A,33376,PAY,+,US,2008-09-24,SEAL,,1436.11,0.05,35798,35776,15.8677,,EA,ORB,True
USA 202,2009-001A,33490,PAY,+,US,2009-01-18,AFETR,,1436.03,8.8,35828,35743,,NEA,EA,ORB,False
WGS F2 (USA 204),2009-017A,34713,PAY,+,US,2009-04-04,AFETR,,1436.07,0.02,35788,35784,5.0119,,EA,ORB,True
EWS-G3 (GOES 14),2009-033A,35491,PAY,B,US,2009-06-27,AFETR,,1438.94,1.88,35851,35833,17.6453,,EA,ORB,True
FM-5,2009-034A,35493,PAY,+,US,2009-06-30,TYMSC,,1436.09,0.05,35788,35784,10.0,,EA,ORB,True
TERRESTAR-1,2009-035A,35496,PAY,+,US,2009-07-01,FRGUI,,1436.07,5.21,35797,35776,17.2973,,EA,ORB,True
USA 207,2009-047A,35815,PAY,+,US,2009-09-08,AFETR,,1436.1,0.1,35819,35753,,NEA,EA,ORB,False
WGS F3 (USA 211),2009-068A,36108,PAY,+,US,2009-12-06,AFETR,,1436.09,0.32,35790,35783,10.0,,EA,ORB,True
DIRECTV 12,2009-075A,36131,PAY,+,US,2009-12-29,TYMSC,,1436.1,0.04,35788,35785,14.1132,,EA,ORB,True
SDO,2010-005A,36395,PAY,+,US,2010-02-11,AFETR,,1436.05,34.81,35794,35778,5.1714,,EA,ORB,True
EWS-G2 (GOES 15),2010-008A,36411,PAY,B,US,2010-03-04,AFETR,,1436.12,1.49,35809,35765,6.3096,,EA,ORB,True
ECHOSTAR 14,2010-010A,36499,PAY,+,US,2010-03-20,TYMSC,,1436.11,0.06,35795,35779,46.2338,,EA,ORB,True
ECHOSTAR 15,2010-034A,36792,PAY,+,US,2010-07-10,TYMSC,,1436.11,0.06,35795,35778,6.3096,,EA,ORB,True
AEHF-1 (USA 214),2010-039A,36868,PAY,+,US,2010-08-14,AFETR,,1436.1,8.41,35803,35770,7.9433,,EA,ORB,True
XM-5,2010-053A,37185,PAY,+,US,2010-10-14,TYMSC,,1436.08,0.07,35789,35784,12.6191,,EA,ORB,True
SKYTERRA 1,2010-061A,37218,PAY,+,US,2010-11-14,TYMSC,,1436.1,5.29,35790,35783,0.003,,EA,ORB,True
USA 223,2010-063A,37232,PAY,+,US,2010-11-21,AFETR,,1436.11,9.46,35908,35666,,NEA,EA,ORB,False
SBIRS GEO-1 (USA 230),2011-019A,37481,PAY,+,US,2011-05-07,AFETR,,1436.09,4.71,35793,35779,19.9526,,EA,ORB,True
SES-3,2011-035A,37748,PAY,+,US,2011-07-15,TYMSC,,1436.1,1.52,35797,35776,19.9526,,EA,ORB,True
VIASAT-1,2011-059A,37843,PAY,P,US,2011-10-19,TYMSC,,1436.1,0.02,35796,35778,3.9811,,EA,ORB,True
WGS F4 (USA 233),2012-003A,38070,PAY,+,US,2012-01-20,AFETR,,1436.14,0.01,35790,35785,15.8583,,EA,ORB,True
AEHF-2 (USA 235),2012-019A,38254,PAY,+,US,2012-05-04,AFETR,,1436.09,6.83,35797,35776,11.32,,EA,ORB,True
USA 236,2012-033A,38466,PAY,+,US,2012-06-20,AFETR,,1436.13,7.81,35809,35765,,NEA,EA,ORB,False
USA 237,2012-034A,38528,PAY,+,US,2012-06-29,AFETR,,1436.07,7.31,35985,35587,,NEA,EA,ORB,False
ECHOSTAR 17,2012-035A,38551,PAY,+,US,2012-07-05,FRGUI,,1436.13,0.02,35797,35778,12.5893,,EA,ORB,True
ECHOSTAR 16,2012-065A,39008,PAY,+,US,2012-11-20,TYMSC,,1436.1,0.02,35796,35778,3.7932,,EA,ORB,True
TDRS 11,2013-004A,39070,PAY,+,US,2013-01-31,AFETR,,1436.2,3.64,35807,35771,25.1189,,EA,ORB,True
SBIRS GEO-2 (USA 241),2013-011A,39120,PAY,+,US,2013-03-19,AFETR,,1444.69,4.66,35961,35948,13.5893,,EA,ORB,True
WGS F5 (USA 243),2013-024A,39168,PAY,+,US,2013-05-25,AFETR,,1436.14,0.02,35790,35785,17.9433,,EA,ORB,True
WGS F6 (USA 244),2013-041A,39222,PAY,+,US,2013-08-08,AFETR,,1436.11,0.02,35789,35785,35.8016,,EA,ORB,True
FM-6,2013-058A,39360,PAY,+,US,2013-10-25,TYMSC,,1436.1,0.01,35793,35780,11.3214,,EA,ORB,True
TDRS 12,2014-004A,39504,PAY,+,US,2014-01-24,AFETR,,1436.08,4.06,35813,35760,7.9433,,EA,ORB,True
USA 250,2014-020A,39652,PAY,+,US,2014-04-10,AFETR,,1436.1,5.2,35802,35771,,NEA,EA,ORB,False
USA 252,2014-027A,39751,PAY,+,US,2014-05-22,AFETR,,1436.1,5.81,35796,35778,,NEA,EA,ORB,False
USA 257 (CLIO),2014-055A,40208,PAY,+,US,2014-09-17,AFETR,,1435.99,0.13,35858,35710,,NEA,EA,ORB,False
DIRECTV 14,2014-078B,40333,PAY,+,US,2014-12-06,FRGUI,,1436.12,0.02,35789,35785,34.1347,,EA,ORB,True
DIRECTV 15,2015-026A,40663,PAY,+,US,2015-05-27,FRGUI,,1436.1,0.02,35788,35785,42.7129,,EA,ORB,True
WGS F7 (USA 263),2015-036A,40746,PAY,+,US,2015-07-24,AFETR,,1436.11,0.02,35787,35787,7.2473,,EA,ORB,True
ECHOSTAR 18,2016-039B,41592,PAY,+,US,2016-06-18,FRGUI,,1436.13,0.02,35793,35781,37.7081,,EA,ORB,True
USA 269,2016-047A,41724,PAY,+,US,2016-07-28,AFETR,,1436.1,3.93,35794,35779,,NEA,EA,ORB,False
USA 271,2016-052B,41745,PAY,+,US,2016-08-19,AFETR,,1442.4,4.19,35918,35901,,,EA,ORB,True
GOES 16,2016-071A,41866,PAY,+,US,2016-11-19,AFETR,,1436.09,0.53,35794,35779,13.1623,,EA,ORB,True
WGS F8 (USA 272),2016-075A,41879,PAY,+,US,2016-12-07,AFETR,,1436.11,0.02,35787,35787,,,EA,ORB,True
ECHOSTAR 19,2016-079A,41893,PAY,+,US,2016-12-18,AFETR,,1436.11,0.01,35793,35781,7.191,,EA,ORB,True
SBIRS GEO-4 (USA 273),2017-004A,41937,PAY,+,US,2017-01-21,AFETR,,1444.7,2.4,35964,35945,,,EA,ORB,True
ECHOSTAR 23,2017-014A,42070,PAY,+,US,2017-03-16,AFETR,,1436.11,0.02,35795,35779,13.1623,,EA,ORB,True
WGS F9 (USA 275),2017-016A,42075,PAY,+,US,2017-03-19,AFETR,,1436.12,0.02,35788,35786,,,EA,ORB,True
VIASAT-2,2017-029A,42740,PAY,+,US,2017-06-01,FRGUI,,1436.13,0.03,35789,35786,,,EA,ORB,True
ECHOSTAR 21,2017-032A,42749,PAY,+,US,2017-06-08,TYMSC,,1436.09,1.78,35797,35776,,,EA,ORB,True
TDRS 13,2017-047A,42915,PAY,+,US,2017-08-18,AFETR,,1436.11,3.48,35845,35728,,,EA,ORB,True
USA 279,2017-066A,42949,PAY,+,US,2017-10-15,AFETR,,1436.07,3.28,35794,35778,,NEA,EA,ORB,False
SBIRS GEO-3 (USA 282),2018-009A,43162,PAY,+,US,2018-01-20,AFETR,,1436.09,2.25,35795,35778,,,EA,ORB,True
GOES 17,2018-022A,43226,PAY,B,US,2018-03-01,AFETR,,1436.13,1.13,35792,35782,,,EA,ORB,True
USA 283,2018-036A,43339,PAY,+,US,2018-04-14,AFETR,,1436.12,0.02,35788,35786,,,EA,ORB,True
WGS 10 (USA 291),2019-014A,44071,PAY,+,US,2019-03-16,AFETR,,1436.11,0.01,35789,35785,,,EA,ORB,True
AT&T T-16,2019-034A,44333,PAY,+,US,2019-06-20,FRGUI,,1436.09,0.01,35788,35785,,,EA,ORB,True
MEV-1,2019-067B,44625,PAY,+,US,2019-10-09,TYMSC,,1436.11,0.85,35804,35769,,,EA,ORB,True
AEHF-6 (USA 298),2020-022B,45465,PAY,+,US,2020-03-26,AFETR,,1436.07,2.39,35964,35608,,,EA,ORB,True
MEV-2,2020-056B,46113,PAY,+,US,2020-08-15,FRGUI,,1436.11,0.05,35788,35785,,,28358,DOC,True
GALAXY 30 (G-30),2020-056C,46114,PAY,+,US,2020-08-15,FRGUI,,1436.09,0.02,35797,35776,,,EA,ORB,True
SXM-7,2020-096A,47240,PAY,P,US,2020-12-13,AFETR,,1436.12,0.02,35803,35771,,,EA,ORB,True
SBIRS GEO-5 (USA 315),2021-042A,48618,PAY,+,US,2021-05-18,AFETR,,1436.1,5.01,35795,35779,,,EA,ORB,True
SXM-8,2021-049A,48838,PAY,+,US,2021-06-06,AFETR,,1436.11,0.02,35810,35764,,,EA,ORB,True
STPSAT-6,2021-118A,49817,PAY,+,US,2021-12-07,AFETR,,1436.1,0.51,35791,35782,,,EA,ORB,True
USA 324,2022-006A,51280,PAY,+,US,2022-01-21,AFETR,,1436.54,0.77,35822,35769,,,EA,ORB,False
USA 325,2022-006B,51281,PAY,+,US,2022-01-21,AFETR,,1436.09,0.59,35802,35771,,,EA,ORB,False
GOES 18,2022-021A,51850,PAY,+,US,2022-03-01,AFETR,,1436.1,0.01,35790,35784,,,EA,ORB,True
WFOV (USA 332),2022-073A,52940,PAY,+,US,2022-07-01,AFETR,,1436.08,3.9,35798,35774,,,EA,ORB,True
SBIRS GEO-6 (USA 336),2022-092A,53355,PAY,+,US,2022-08-04,AFETR,,1436.11,3.13,35795,35779,,,EA,ORB,True
USA 342,2023-008A,55263,PAY,+,US,2023-01-15,AFETR,,1436.07,0.02,35787,35785,,,EA,ORB,True
USA 344,2022-144J,56307,PAY,+,US,2022-11-01,AFETR,,1440.3,5.44,35887,35850,,NEA,EA,ORB,False
VIASAT-3 F1,2023-060A,56370,PAY,P,US,2023-05-01,AFETR,,1436.11,0.01,35791,35783,,,EA,ORB,True
ARCTURUS,2023-060B,56371,PAY,P,US,2023-05-01,AFETR,,1436.13,2.97,35790,35784,,,EA,ORB,True
GS-1,2023-060C,56372,PAY,+,US,2023-05-01,AFETR,,1436.34,2.9,35804,35779,,,EA,ORB,True
JUPITER 3 (ECHOSTAR 24),2023-108A,57479,PAY,+,US,2023-07-29,AFETR,,1436.1,0.02,35792,35782,,,EA,ORB,True
USA 346,2023-140A,57836,PAY,+,US,2023-09-10,AFETR,,1436.05,12.41,35787,35785,,NEA,EA,ORB,False
USA 347,2023-140B,57837,PAY,+,US,2023-09-10,AFETR,,1436.07,12.05,35798,35773,,NEA,EA,ORB,False
USA 348,2023-140C,57838,PAY,+,US,2023-09-10,AFETR,,1436.1,12.05,35791,35782,,NEA,EA,ORB,False
USA 353,2024-067A,59453,PAY,+,US,2024-04-09,AFETR,,1436.1,6.21,35951,35623,,NEA,EA,ORB,False
GOES 19,2024-119A,60133,PAY,+,US,2024-06-25,AFETR,,1436.11,0.01,35790,35783,,,EA,ORB,True
SXM-9,2024-234A,62259,PAY,+,US,2024-12-05,AFETR,,1436.14,0.01,35808,35767,,,EA,ORB,True
SXM-10,2025-122A,64290,PAY,+,US,2025-06-07,AFETR,,1436.13,0.02,35793,35781,,,EA,ORB,True
NTS-3,2025-173A,65160,PAY,+,US,2025-08-13,AFETR,,1431.15,3.08,35694,35685,,,EA,ORB,True
VIASAT-3 F2,2025-261A,66454,PAY,+,US,2025-11-14,AFETR,,1436.12,,35792,35782,,,EA,ORB,True
USA 569,2024-134L,66552,PAY,+,US,2024-07-30,AFETR,,1430.94,0.34,35701,35670,,NEA,EA,ORB,False
USA 582,2026-029A,67759,PAY,+,US,2026-02-12,AFETR,,1433.58,0.35,35759,35715,,NEA,EA,ORB,False
USA 583,2026-029B,67760,PAY,+,US,2026-02-12,AFETR,,1434.12,0.3,35770,35726,,NEA,EA,ORB,False
ECHOSTAR 25,2026-045A,68126,PAY,+,US,2026-03-10,AFETR,,1436.09,0.02,35793,35780,,,EA,ORB,True
VIASAT-3 F3,2026-096A,68893,PAY,+,US,2026-04-29,AFETR,,1436.13,0.01,35793,35781,,,EA,ORB,True
SXM-11,2026-148A,69728,PAY,+,US,2026-06-29,AFETR,,1436.11,0.02,35790,35784,,,EA,ORB,True
